	LSSP-08	GRP-17	WBC-23	GRP-25	WBC-20	GRP-05	GRP-01	WBC-03	GRP-22	WBC-07	GRP-04	SLNF-09	GRP-13	LSSP-01	WBC-17	LSSP-03	SLNF-06	GRP-09	GRP-10	WBC-09	FCSP-04	WBC-14	TMC-05	LSSP-10	SLNF-03	WBC-13	LSSP-05	WBC-25	SLNF-05	GRP-02	LSSP-06	LSSP-07	GRP-19	TMC-07	GRP-12	WBC-21	WBC-12	GRP-06	WBC-16	TMC-04	WBC-11	GRP-24	FCSP-06	GRP-15	GRP-16	GRP-14	SLNF-02	WBC-18	WBC-22	FCSP-07	WBC-01	GRP-11	TMC-10	LSSP-04	GRP-20	SLNF-08	WBC-15	GRP-18	WBC-24	FCSP-01	FCSP-03	TMC-09	LSSP-02	WBC-10	TMC-02	WBC-05	GRP-03	TMC-11	WBC-02	SLNF-07	WBC-04	WBC-08	TMC-08	LSSP-09	GRP-21	TMC-06	FCSP-02	TMC-01	GRP-07	GRP-08	WBC-19	GRP-23
LSSP-08	0.0	0.6017307692307692	0.9784615384615385	0.5653846153846154	0.9807692307692307	0.5378846153846154	0.6461538461538462	0.8834615384615384	0.4634615384615385	0.9840384615384615	0.7811538461538462	0.8851923076923077	0.6115384615384616	0.5726923076923077	0.9951923076923077	0.4246153846153846	0.685	0.7523076923076923	0.6253846153846154	0.7386538461538461	0.7461538461538462	0.9890384615384615	0.8298076923076924	0.6678846153846154	0.7621153846153846	0.8430769230769231	0.6955769230769231	0.9292307692307692	0.7463461538461539	0.7673076923076924	0.4646153846153846	0.5344230769230769	0.6807692307692308	0.8753846153846154	0.905	0.99	0.9828846153846154	0.8411538461538461	0.9813461538461539	0.9273076923076923	0.9878846153846154	0.7180769230769231	0.8211538461538461	0.5634615384615385	0.6863461538461538	0.6025	0.7632692307692308	0.9311538461538461	0.9903846153846154	0.7673076923076924	0.9840384615384615	0.7684615384615384	0.9228846153846154	0.5344230769230769	0.8436538461538462	0.8175	0.9871153846153846	0.49346153846153845	0.9707692307692307	0.9109615384615385	0.7546153846153846	0.9642307692307692	0.5846153846153846	0.9838461538461538	0.7428846153846154	0.9878846153846154	0.7792307692307693	0.8863461538461539	0.9859615384615384	0.885576923076923	0.9692307692307692	0.9917307692307692	0.835	0.7617307692307692	0.6090384615384615	0.9651923076923077	0.6955769230769231	0.8326923076923077	0.6765384615384615	0.6028846153846154	0.9690384615384615	0.7653846153846153
GRP-17	0.6017307692307692	0.0	0.9901923076923077	0.5417307692307692	0.9909615384615384	0.34615384615384615	0.5440384615384616	0.9576923076923077	0.5911538461538461	0.9884615384615385	0.7534615384615385	0.8426923076923077	0.6555769230769231	0.6123076923076923	0.9982692307692308	0.5561538461538461	0.6317307692307692	0.5986538461538462	0.40923076923076923	0.7551923076923077	0.7746153846153846	0.994423076923077	0.7992307692307692	0.7825	0.6386538461538461	0.928076923076923	0.815	0.9728846153846153	0.7469230769230769	0.7284615384615385	0.6086538461538461	0.8146153846153846	0.46134615384615385	0.7332692307692308	0.8536538461538462	0.9973076923076923	0.9865384615384616	0.7951923076923076	0.9925	0.9776923076923076	0.9898076923076923	0.5176923076923077	0.8232692307692308	0.47692307692307695	0.6336538461538461	0.4930769230769231	0.6430769230769231	0.9778846153846154	0.9975	0.7980769230769231	0.9886538461538461	0.6611538461538462	0.9746153846153847	0.5553846153846154	0.8134615384615385	0.6107692307692307	0.9986538461538461	0.6146153846153846	0.9911538461538462	0.8711538461538462	0.6557692307692308	0.9603846153846154	0.6119230769230769	0.9878846153846154	0.7061538461538461	0.9946153846153846	0.859423076923077	0.8011538461538461	0.9932692307692308	0.8007692307692308	0.9790384615384615	0.9978846153846154	0.5853846153846154	0.8886538461538461	0.525576923076923	0.9525	0.6767307692307692	0.9234615384615384	0.615	0.5823076923076923	0.9803846153846154	0.6875
WBC-23	0.9784615384615385	0.9901923076923077	0.0	0.9865384615384616	0.9313461538461538	0.9909615384615384	0.9828846153846154	0.9788461538461538	0.9857692307692307	0.7232692307692308	0.979423076923077	0.9988461538461538	0.9828846153846154	0.9865384615384616	0.9603846153846154	0.9896153846153846	0.9990384615384615	0.9911538461538462	0.9928846153846154	0.9838461538461538	0.9805769230769231	0.9932692307692308	0.9990384615384615	0.9857692307692307	0.9982692307692308	0.8678846153846154	0.9859615384615384	0.9863461538461539	0.9942307692307693	0.9907692307692307	0.9834615384615385	0.9734615384615385	0.9959615384615385	0.9978846153846154	0.995	0.9482692307692308	0.9698076923076923	0.9967307692307692	0.8057692307692308	0.9873076923076923	0.9755769230769231	0.9965384615384615	0.9898076923076923	0.9888461538461538	0.994423076923077	0.9853846153846154	0.9982692307692308	0.9965384615384615	0.48538461538461536	0.9786538461538462	0.9969230769230769	0.9940384615384615	0.9775	0.9901923076923077	0.9973076923076923	0.9982692307692308	0.7396153846153846	0.9838461538461538	0.9951923076923077	0.9976923076923077	0.9957692307692307	0.9975	0.9886538461538461	0.9605769230769231	0.9728846153846153	0.8448076923076923	0.9765384615384616	0.9982692307692308	0.994423076923077	0.9988461538461538	0.9155769230769231	0.9625	0.9984615384615385	0.9771153846153846	0.9938461538461538	0.9973076923076923	0.9921153846153846	0.9948076923076923	0.9921153846153846	0.9888461538461538	0.8775	0.9930769230769231
GRP-25	0.5653846153846154	0.5417307692307692	0.9865384615384616	0.0	0.9880769230769231	0.30538461538461537	0.455	0.9273076923076923	0.47423076923076923	0.9882692307692308	0.5959615384615384	0.7465384615384615	0.36096153846153844	0.6571153846153847	0.9982692307692308	0.5640384615384615	0.6288461538461538	0.5194230769230769	0.5917307692307693	0.6836538461538462	0.6413461538461539	0.9942307692307693	0.7857692307692308	0.5869230769230769	0.5992307692307692	0.8634615384615385	0.7161538461538461	0.9669230769230769	0.6338461538461538	0.5036538461538461	0.4176923076923077	0.6348076923076923	0.5811538461538461	0.7386538461538461	0.759423076923077	0.9961538461538462	0.9851923076923077	0.6648076923076923	0.9855769230769231	0.9596153846153846	0.9892307692307692	0.48403846153846153	0.6865384615384615	0.4448076923076923	0.4773076923076923	0.4530769230769231	0.6201923076923077	0.9732692307692308	0.9965384615384615	0.7819230769230769	0.9867307692307692	0.41634615384615387	0.9632692307692308	0.5269230769230769	0.6401923076923077	0.6626923076923077	0.9942307692307693	0.4021153846153846	0.9748076923076923	0.7559615384615385	0.6338461538461538	0.9503846153846154	0.6588461538461539	0.9851923076923077	0.724423076923077	0.9907692307692307	0.688076923076923	0.8367307692307693	0.9930769230769231	0.7609615384615385	0.9738461538461538	0.9957692307692307	0.6873076923076923	0.8546153846153847	0.6317307692307692	0.9457692307692308	0.6003846153846154	0.7926923076923077	0.49961538461538463	0.5188461538461538	0.9780769230769231	0.4580769230769231
WBC-20	0.9807692307692307	0.9909615384615384	0.9313461538461538	0.9880769230769231	0.0	0.9919230769230769	0.990576923076923	0.6813461538461538	0.9825	0.9273076923076923	0.9803846153846154	0.9938461538461538	0.9875	0.985	0.9165384615384615	0.9871153846153846	0.9948076923076923	0.9867307692307692	0.9911538461538462	0.9809615384615384	0.9809615384615384	0.921923076923077	0.9982692307692308	0.9826923076923076	0.995	0.8503846153846154	0.9853846153846154	0.9386538461538462	0.9861538461538462	0.9928846153846154	0.9855769230769231	0.9786538461538462	0.9948076923076923	0.9953846153846154	0.9923076923076923	0.823076923076923	0.9888461538461538	0.995	0.8511538461538461	0.9913461538461539	0.9976923076923077	0.9961538461538462	0.9880769230769231	0.9888461538461538	0.9909615384615384	0.9873076923076923	0.9948076923076923	0.9571153846153846	0.6169230769230769	0.9792307692307692	0.9963461538461539	0.9936538461538461	0.9748076923076923	0.9892307692307692	0.9967307692307692	0.9948076923076923	0.8603846153846154	0.9855769230769231	0.9946153846153846	0.9951923076923077	0.9942307692307693	0.9884615384615385	0.985	0.9842307692307692	0.9636538461538462	0.915	0.9792307692307692	0.9961538461538462	0.995	0.9963461538461539	0.9859615384615384	0.8536538461538462	0.9938461538461538	0.9765384615384616	0.9923076923076923	0.995	0.9903846153846154	0.9865384615384616	0.9907692307692307	0.9886538461538461	0.938076923076923	0.9907692307692307
GRP-05	0.5378846153846154	0.34615384615384615	0.9909615384615384	0.30538461538461537	0.9919230769230769	0.0	0.44826923076923075	0.9257692307692308	0.5057692307692307	0.9886538461538461	0.6796153846153846	0.7390384615384615	0.4609615384615385	0.6025	0.9984615384615385	0.49865384615384617	0.5271153846153847	0.4851923076923077	0.42153846153846153	0.7007692307692308	0.6726923076923077	0.994423076923077	0.7959615384615385	0.6598076923076923	0.5348076923076923	0.8926923076923077	0.7784615384615384	0.9565384615384616	0.6159615384615384	0.583076923076923	0.45865384615384613	0.7423076923076923	0.42730769230769233	0.6807692307692308	0.7586538461538461	0.9980769230769231	0.9873076923076923	0.676923076923077	0.9884615384615385	0.9726923076923077	0.9923076923076923	0.3478846153846154	0.7075	0.3396153846153846	0.4857692307692308	0.48307692307692307	0.5503846153846154	0.9609615384615384	0.9975	0.7932692307692307	0.9886538461538461	0.46634615384615385	0.9713461538461539	0.43596153846153846	0.6740384615384616	0.5805769230769231	0.9976923076923077	0.4944230769230769	0.98	0.8234615384615385	0.5478846153846154	0.9573076923076923	0.6086538461538461	0.9861538461538462	0.729423076923077	0.9919230769230769	0.7803846153846153	0.7978846153846154	0.9934615384615385	0.7025	0.9757692307692307	0.9984615384615385	0.6253846153846154	0.8719230769230769	0.5298076923076923	0.95	0.5996153846153847	0.8575	0.5278846153846154	0.48384615384615387	0.9813461538461539	0.5198076923076923
GRP-01	0.6461538461538462	0.5440384615384616	0.9828846153846154	0.455	0.990576923076923	0.44826923076923075	0.0	0.9815384615384616	0.5938461538461538	0.9865384615384616	0.6901923076923077	0.8240384615384615	0.6267307692307692	0.5298076923076923	0.9953846153846154	0.6142307692307692	0.6346153846153846	0.6782692307692307	0.4925	0.6932692307692307	0.6888461538461539	0.989423076923077	0.7851923076923077	0.6584615384615384	0.7026923076923077	0.9111538461538462	0.7519230769230769	0.9953846153846154	0.7711538461538462	0.4403846153846154	0.5515384615384615	0.8142307692307692	0.45653846153846156	0.7986538461538462	0.82	0.995576923076923	0.9878846153846154	0.7409615384615384	0.9932692307692308	0.9557692307692308	0.9930769230769231	0.5955769230769231	0.7532692307692308	0.4690384615384615	0.6546153846153846	0.6955769230769231	0.7432692307692308	0.9957692307692307	0.9946153846153846	0.7698076923076923	0.9957692307692307	0.49884615384615383	0.97	0.46807692307692306	0.7217307692307692	0.7842307692307692	0.9934615384615385	0.6055769230769231	0.9963461538461539	0.7486538461538461	0.5794230769230769	0.9619230769230769	0.5217307692307692	0.9828846153846154	0.8517307692307692	0.9882692307692308	0.7809615384615385	0.8365384615384616	0.9923076923076923	0.8282692307692308	0.9869230769230769	0.9973076923076923	0.7713461538461538	0.9153846153846154	0.5625	0.9411538461538461	0.5478846153846154	0.8334615384615385	0.5113461538461539	0.5201923076923077	0.9790384615384615	0.5859615384615384
WBC-03	0.8834615384615384	0.9576923076923077	0.9788461538461538	0.9273076923076923	0.6813461538461538	0.9257692307692308	0.9815384615384616	0.0	0.8823076923076923	0.9255769230769231	0.9590384615384615	0.975	0.879423076923077	0.9638461538461538	0.9740384615384615	0.8825	0.98	0.9384615384615385	0.9609615384615384	0.9619230769230769	0.9534615384615385	0.9494230769230769	0.9963461538461539	0.9728846153846153	0.9801923076923077	0.8076923076923077	0.9692307692307692	0.9036538461538461	0.9407692307692308	0.9861538461538462	0.9234615384615384	0.8709615384615385	0.9763461538461539	0.9873076923076923	0.9701923076923077	0.9388461538461539	0.9846153846153847	0.9736538461538462	0.9294230769230769	0.9940384615384615	0.9694230769230769	0.9873076923076923	0.9546153846153846	0.9342307692307692	0.9292307692307692	0.88	0.9676923076923077	0.8775	0.7232692307692308	0.9719230769230769	0.9957692307692307	0.9792307692307692	0.93	0.9148076923076923	0.9767307692307692	0.9673076923076923	0.9671153846153846	0.8873076923076924	0.9688461538461538	0.9938461538461538	0.9867307692307692	0.9917307692307692	0.9751923076923077	0.8221153846153846	0.9136538461538461	0.7551923076923077	0.9496153846153846	0.9973076923076923	0.9544230769230769	0.9830769230769231	0.66	0.8934615384615384	0.9815384615384616	0.9163461538461538	0.9507692307692308	0.9948076923076923	0.9775	0.9286538461538462	0.9809615384615384	0.9405769230769231	0.8992307692307693	0.9755769230769231
GRP-22	0.4634615384615385	0.5911538461538461	0.9857692307692307	0.47423076923076923	0.9825	0.5057692307692307	0.5938461538461538	0.8823076923076923	0.0	0.9884615384615385	0.6030769230769231	0.8603846153846154	0.49903846153846154	0.5607692307692308	0.9976923076923077	0.4017307692307692	0.6875	0.7201923076923077	0.615	0.7382692307692308	0.750576923076923	0.994423076923077	0.8092307692307692	0.6532692307692308	0.745576923076923	0.7415384615384616	0.6517307692307692	0.8782692307692308	0.7282692307692308	0.7411538461538462	0.4821153846153846	0.5153846153846153	0.6696153846153846	0.8646153846153846	0.8751923076923077	0.9967307692307692	0.9853846153846154	0.8090384615384615	0.9878846153846154	0.9676923076923077	0.9890384615384615	0.6998076923076924	0.7886538461538461	0.5378846153846154	0.6407692307692308	0.4825	0.7569230769230769	0.8769230769230769	0.9963461538461539	0.7669230769230769	0.9869230769230769	0.7409615384615384	0.9709615384615384	0.5503846153846154	0.8125	0.81	0.9957692307692307	0.3044230769230769	0.9740384615384615	0.8567307692307692	0.7023076923076923	0.943076923076923	0.54	0.9748076923076923	0.6988461538461539	0.9907692307692307	0.6417307692307692	0.890576923076923	0.9934615384615385	0.8907692307692308	0.9726923076923077	0.9907692307692307	0.8226923076923077	0.8625	0.5936538461538462	0.9517307692307693	0.6592307692307692	0.8375	0.6176923076923077	0.5565384615384615	0.9721153846153846	0.7476923076923077
WBC-07	0.9840384615384615	0.9884615384615385	0.7232692307692308	0.9882692307692308	0.9273076923076923	0.9886538461538461	0.9865384615384616	0.9255769230769231	0.9884615384615385	0.0	0.9784615384615385	0.9919230769230769	0.9880769230769231	0.9819230769230769	0.9457692307692308	0.9876923076923076	0.9934615384615385	0.9875	0.9890384615384615	0.9842307692307692	0.9842307692307692	0.7355769230769231	0.9969230769230769	0.9813461538461539	0.9930769230769231	0.6530769230769231	0.9826923076923076	0.9271153846153846	0.9834615384615385	0.9875	0.9807692307692307	0.9730769230769231	0.9888461538461538	0.9946153846153846	0.9886538461538461	0.8369230769230769	0.7984615384615384	0.9884615384615385	0.7253846153846154	0.9907692307692307	0.9784615384615385	0.9880769230769231	0.9863461538461539	0.9882692307692308	0.9880769230769231	0.9884615384615385	0.9930769230769231	0.8073076923076923	0.6782692307692307	0.965	0.9763461538461539	0.9886538461538461	0.9478846153846154	0.9884615384615385	0.9888461538461538	0.9921153846153846	0.6978846153846154	0.9884615384615385	0.7801923076923077	0.9948076923076923	0.9953846153846154	0.995	0.985	0.6642307692307692	0.9651923076923077	0.7821153846153847	0.9765384615384616	0.9963461538461539	0.6032692307692308	0.9940384615384615	0.8394230769230769	0.7267307692307692	0.9921153846153846	0.948076923076923	0.9884615384615385	0.9965384615384615	0.9909615384615384	0.9690384615384615	0.9875	0.9882692307692308	0.8244230769230769	0.9882692307692308
